Supplier_ID;Name;HQ;Supply_category;TelNum;E-mail;Description
1856382;Γιώργος Πετρόπουλος ;Λάρισα, Ελλάδα;Τροφή;+302494055621;g.petr@gmail.com;Σιτηρά, σπόροι, αγριόχορτα, φυλώματα, θάμνοι 
1809398;Ελλάς Καρποί ΑΕ;Τρίπολη, Ελλάδα;Τροφή ;+302109547275;amal.nikol@gmail.com;Μούρα, φρούτα, λουλούδια
2978761;BioPharma SA;Φρανκφούρτη, Γερμανία;Φάρμακα;;bioPharma.bel@gmail.com;
2401020;Veterinary Products SA ;Λονδίνο, Η.Β.;Φάρμακα ;;smithchristian@gmail.com;
2795055;Ιατροφαρμακευτική ΑΕ ;Θεσσαλλονίκη, Ελλάδα;Φάρμακα ;+302397055633;iatropharm@compdom.com;
1888143;Humane SA ;Βιέννη, Αυστία;Τροφή ;;welovekil@lingsmallanimals.com;Μικρά ζώα, έντομα 
2250690;VetPharma SA;Κίεβο, Ουκρανία;Φάρμακα;;anat.oslov@vetpharma.com;
1043882;ChenXiao Seed Exports;Πεκίνο, Κίνα;Τροφή;;baoming@chenxiao.com;Ασιατικοί σπόροι, μούρα, λουλούδια
1807576;Pet Products Exports ;Τύνιδα, Τυνησία ;Τροφή;;abmurnt@petproducts.com;Κρέας ζώων
1789631;Tropical Flower Exports ;Λα Πας, Βολιβία ;Τροφή;;felipa.santiago@tropflowers.com;Τροπικά  φρούτα, μούρα, λουλούδια, σπόροι
1825695;Asian Isles Exports;Τζακάρτα, Ινδονησία;Τροφή;;sanaung@asianisles.com;Μούρα, φύλλα, σπόροι, υδρόβια φυτά
1793407;Παναγιώτα Κωστοπούλου ;Πύργος, Ελλάδα;Τροφή;+302621088861;kostpan@gmail.com;Φρούτα, έντομα
1476838;Κρεαταγορά ΑΕ ;Χανιά, Ελλάδα;Τροφή;;mixpapadom@opor.com;Κρέας ζώων φάρμας, ελαφιού
1780852;Metro Pet Shop ;Αλεξανδρούπολη, Ελλάδα;Τροφή;+302551056382;aggeliki.alsan@metropetshop.com;Κρέας ζώων 
2387694;BioVet SA ;Όσλο, Σουηδία;Φάρμακα;;agnes.grahn@biovet.com ;
1235549;Sea Market SA ;Κοπεγχάγη, Δανία;Τροφή;;freja.larsen@seamarket.com ;Ψάρια, οστρακοειδή, μαλάκια
